GP,Date,,Opponent,GF,GA,Result,OT,W,L,OL,Streak,Att.,LOG,Notes
70,2024-03-19,@,Vancouver Canucks,2,3,L,,33,32,5,L 1,18733,2:30,
71,2024-03-21,@,Edmonton Oilers,3,8,L,,33,33,5,L 2,18347,2:26,
72,2024-03-24,@,Calgary Flames,4,1,W,,34,33,5,W 1,16497,2:23,
73,2024-03-27,,Ottawa Senators,2,6,L,,34,34,5,L 1,14583,2:26,
74,2024-03-29,,New Jersey Devils,5,2,W,,35,34,5,W 1,15721,2:22,
75,2024-03-30,,Toronto Maple Leafs,0,3,L,,35,35,5,L 1,19070,2:27,
76,2024-04-02,,Washington Capitals,6,2,W,,36,35,5,W 1,14390,2:24,
77,2024-04-05,,Philadelphia Flyers,4,2,W,,37,35,5,W 2,15783,2:19,
78,2024-04-07,@,Detroit Red Wings,1,3,L,,37,36,5,L 1,19515,2:32,
79,2024-04-09,@,Dallas Stars,2,3,L,,37,37,5,L 2,18532,2:40,
80,2024-04-11,,Washington Capitals,4,2,W,,38,37,5,W 1,15454,2:17,
81,2024-04-13,@,Florida Panthers,2,3,L,OT,38,37,6,L 1,19319,2:29,
82,2024-04-15,@,Tampa Bay Lightning,4,2,W,,39,37,6,W 1,19092,2:28,
