GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
70,2022-04-03,,Florida Panthers,3,5,L,,25,34,11,L 1,11787,2:29,
71,2022-04-05,,Carolina Hurricanes,4,2,W,,26,34,11,W 1,8984,2:25,
72,2022-04-07,@,Carolina Hurricanes,3,5,L,,26,35,11,L 1,15639,2:18,
73,2022-04-08,@,Florida Panthers,3,4,L,,26,36,11,L 2,17728,2:20,
74,2022-04-10,@,Tampa Bay Lightning,0,5,L,,26,37,11,L 3,19092,2:22,
75,2022-04-12,@,Toronto Maple Leafs,5,2,W,,27,37,11,W 1,18393,2:24,
76,2022-04-14,,St. Louis Blues,2,6,L,,27,38,11,L 1,11565,2:22,
77,2022-04-16,,Philadelphia Flyers,4,3,W,,28,38,11,W 1,11046,2:24,
78,2022-04-17,@,Philadelphia Flyers,5,3,W,,29,38,11,W 2,14377,2:28,
79,2022-04-21,@,New Jersey Devils,5,2,W,,30,38,11,W 3,12014,2:19,
80,2022-04-23,,New York Islanders,5,3,W,,31,38,11,W 4,12955,2:21,
81,2022-04-28,@,Boston Bruins,0,5,L,,31,39,11,L 1,17850,2:32,
82,2022-04-29,,Chicago Blackhawks,3,2,W,OT,32,39,11,W 1,16505,2:20,
