GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2022-10-13,,Ottawa Senators,4,1,W,,1,0,0,W 1,15364,2:21,
2,2022-10-15,,Florida Panthers,3,4,L,,1,1,0,L 1,11481,2:30,
3,2022-10-18,@,Edmonton Oilers,4,2,W,,2,1,0,W 1,16121,2:35,
4,2022-10-20,@,Calgary Flames,6,3,W,,3,1,0,W 2,17080,2:28,
5,2022-10-22,@,Vancouver Canucks,5,1,W,,4,1,0,W 3,18809,2:26,
6,2022-10-25,@,Seattle Kraken,1,5,L,,4,2,0,L 1,17151,2:21,
7,2022-10-27,,Montreal Canadiens,2,3,L,,4,3,0,L 2,12735,2:21,
8,2022-10-29,,Chicago Blackhawks,4,3,W,OT,5,3,0,W 1,14547,2:31,
9,2022-10-31,,Detroit Red Wings,8,3,W,,6,3,0,W 2,9673,2:27,
10,2022-11-02,,Pittsburgh Penguins,6,3,W,,7,3,0,W 3,12201,2:28,
11,2022-11-04,@,Carolina Hurricanes,3,5,L,,7,4,0,L 1,18727,2:32,
12,2022-11-05,@,Tampa Bay Lightning,3,5,L,,7,5,0,L 2,19092,2:35,
13,2022-11-08,,Arizona Coyotes,1,4,L,,7,6,0,L 3,10296,2:47,
14,2022-11-10,,Vegas Golden Knights,4,7,L,,7,7,0,L 4,15757,2:37,
15,2022-11-12,,Boston Bruins,1,3,L,,7,8,0,L 5,19070,2:28,
16,2022-11-15,,Vancouver Canucks,4,5,L,,7,9,0,L 6,11130,2:27,
17,2022-11-16,@,Ottawa Senators,1,4,L,,7,10,0,L 7,13558,2:32,
18,2022-11-19,@,Toronto Maple Leafs,2,5,L,,7,11,0,L 8,18645,2:26,
19,2022-11-22,@,Montreal Canadiens,7,2,W,,8,11,0,W 1,20984,2:26,
20,2022-11-23,,St. Louis Blues,6,2,W,,9,11,0,W 2,17302,2:20,
21,2022-11-25,,New Jersey Devils,1,3,L,,9,12,0,L 1,16727,2:32,
22,2022-11-28,,Tampa Bay Lightning,5,6,L,OT,9,12,1,L 2,11766,2:37,
