GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
23,2022-11-30,@,Detroit Red Wings,5,4,W,SO,10,12,1,W 1,17117,2:47,
24,2022-12-01,,Colorado Avalanche,4,6,L,,10,13,1,L 1,12805,2:32,
25,2022-12-04,,San Jose Sharks,6,3,W,,11,13,1,W 1,13655,2:22,
26,2022-12-07,@,Columbus Blue Jackets,9,4,W,,12,13,1,W 2,15659,2:25,
27,2022-12-09,,Pittsburgh Penguins,3,4,L,OT,12,13,2,L 1,17205,2:29,
28,2022-12-10,@,Pittsburgh Penguins,1,3,L,,12,14,2,L 2,18414,2:22,
29,2022-12-13,,Los Angeles Kings,6,0,W,,13,14,2,W 1,12873,2:29,
30,2022-12-15,@,Colorado Avalanche,4,2,W,,14,14,2,W 2,18103,2:32,
31,2022-12-17,@,Arizona Coyotes,5,2,W,,15,14,2,W 3,4600,2:25,
32,2022-12-19,@,Vegas Golden Knights,3,2,W,,16,14,2,W 4,17808,2:35,
33,2022-12-29,,Detroit Red Wings,6,3,W,,17,14,2,W 5,19070,2:29,
34,2022-12-31,@,Boston Bruins,4,3,W,OT,18,14,2,W 6,17850,2:41,
35,2023-01-01,@,Ottawa Senators,1,3,L,,18,15,2,L 1,18231,2:24,
36,2023-01-03,@,Washington Capitals,5,4,W,OT,19,15,2,W 1,18573,2:35,
37,2023-01-07,,Minnesota Wild,6,5,W,OT,20,15,2,W 2,19070,2:34,
38,2023-01-09,,Philadelphia Flyers,0,4,L,,20,16,2,L 1,11271,2:21,
39,2023-01-10,,Seattle Kraken,3,4,L,,20,17,2,L 2,13219,2:29,
40,2023-01-12,,Winnipeg Jets,2,4,L,,20,18,2,L 3,15208,2:26,
41,2023-01-14,@,Nashville Predators,5,3,W,,21,18,2,W 1,17761,2:31,
42,2023-01-16,,Florida Panthers,1,4,L,,21,19,2,L 1,15251,2:24,
43,2023-01-17,@,Chicago Blackhawks,3,4,L,OT,21,19,3,L 2,16363,2:24,
44,2023-01-19,,New York Islanders,3,2,W,OT,22,19,3,W 1,19070,2:26,
45,2023-01-21,,Anaheim Ducks,6,3,W,,23,19,3,W 2,19070,2:22,
46,2023-01-23,@,Dallas Stars,3,2,W,OT,24,19,3,W 3,18134,2:24,
47,2023-01-24,@,St. Louis Blues,5,3,W,,25,19,3,W 4,18096,2:23,
48,2023-01-26,@,Winnipeg Jets,3,2,W,,26,19,3,W 5,13589,2:23,
49,2023-01-28,@,Minnesota Wild,2,3,L,SO,26,19,4,L 1,19212,2:36,
50,2023-02-01,,Carolina Hurricanes,1,5,L,,26,20,4,L 2,14166,2:20,
51,2023-02-11,,Calgary Flames,2,7,L,,26,21,4,L 3,18356,2:25,
52,2023-02-13,@,Los Angeles Kings,2,5,L,,26,22,4,L 4,17025,2:26,
53,2023-02-15,@,Anaheim Ducks,7,3,W,,27,22,4,W 1,15165,2:27,
54,2023-02-18,@,San Jose Sharks,4,2,W,,28,22,4,W 2,17562,2:31,
55,2023-02-21,,Toronto Maple Leafs,3,6,L,,28,23,4,L 1,18641,2:24,
56,2023-02-23,@,Tampa Bay Lightning,6,5,W,OT,29,23,4,W 1,19092,2:30,
57,2023-02-24,@,Florida Panthers,3,1,W,,30,23,4,W 2,18075,2:32,
58,2023-02-26,,Washington Capitals,7,4,W,,31,23,4,W 3,19070,2:30,
59,2023-02-28,,Columbus Blue Jackets,3,5,L,,31,24,4,L 1,13661,2:24,
60,2023-03-02,@,Boston Bruins,1,7,L,,31,25,4,L 2,17850,2:31,
61,2023-03-04,,Tampa Bay Lightning,5,3,W,,32,25,4,W 1,19070,2:28,
62,2023-03-06,,Edmonton Oilers,2,3,L,,32,26,4,L 1,17634,2:26,
63,2023-03-07,@,New York Islanders,2,3,L,,32,27,4,L 2,17255,2:24,
64,2023-03-09,,Dallas Stars,4,10,L,,32,28,4,L 3,14174,2:29,
65,2023-03-11,,New York Rangers,1,2,L,OT,32,28,5,L 4,19070,2:25,
66,2023-03-13,@,Toronto Maple Leafs,4,3,W,,33,28,5,W 1,18688,2:25,
67,2023-03-15,@,Washington Capitals,4,5,L,SO,33,28,6,L 1,18573,2:44,
68,2023-03-17,@,Philadelphia Flyers,2,5,L,,33,29,6,L 2,18051,2:23,
69,2023-03-19,,Boston Bruins,0,7,L,,33,30,6,L 3,19070,2:23,
70,2023-03-21,,Nashville Predators,3,7,L,,33,31,6,L 4,13043,2:18,
71,2023-03-24,,New Jersey Devils,5,4,W,,34,31,6,W 1,17101,2:29,
72,2023-03-25,@,New York Islanders,2,0,W,,35,31,6,W 2,17255,2:20,
73,2023-03-27,,Montreal Canadiens,3,4,L,SO,35,31,7,L 1,16435,2:46,
74,2023-03-31,,New York Rangers,3,2,W,OT,36,31,7,W 1,18009,2:27,
75,2023-04-01,@,Philadelphia Flyers,6,3,W,,37,31,7,W 2,19404,2:24,
76,2023-04-04,@,Florida Panthers,1,2,L,,37,32,7,L 1,17255,2:33,
77,2023-04-06,@,Detroit Red Wings,7,6,W,SO,38,32,7,W 1,19367,2:48,
78,2023-04-08,,Carolina Hurricanes,4,3,W,,39,32,7,W 2,18199,2:24,
79,2023-04-10,@,New York Rangers,3,2,W,SO,40,32,7,W 3,18006,2:36,
80,2023-04-11,@,New Jersey Devils,2,6,L,,40,33,7,L 1,16514,2:25,
81,2023-04-13,,Ottawa Senators,4,3,W,OT,41,33,7,W 1,16739,2:26,
82,2023-04-14,@,Columbus Blue Jackets,5,2,W,,42,33,7,W 2,18786,2:15,
